timestamp, actor_id, actor_type, event_type, cell_x, cell_y, genes
1663162774, 23, player, created, 13, 12, { [ ( -0.017370560965943) ( -0.68557864978743) ( 0.99947664224081) ( -0.93182117839804) ( -0.57147435669574) ( -0.37620049848159)] [ ( -0.98656215124426 -0.44472675273608 -0.36438804252638 0.24337157097212 0.30924854868335 -0.10424948296182) ( -0.36104699426852 0.11312874512525 0.094573637712375 0.79626046669275 -0.97557225909911 0.56266858932283) ( 0.58995240604036 -0.64514397701636 -0.43636356378819 0.42367372284486 0.080873003350977 0.66431770249996)] [ ( 0.37370162592592 0.54536370736578 -0.53589647824656)]}
1663162775, 23, player, destroyed, 27, 9, { [ ( -0.017370560965943) ( -0.68557864978743) ( 0.99947664224081) ( -0.93182117839804) ( -0.57147435669574) ( -0.37620049848159)] [ ( -0.98656215124426 -0.44472675273608 -0.36438804252638 0.24337157097212 0.30924854868335 -0.10424948296182) ( -0.36104699426852 0.11312874512525 0.094573637712375 0.79626046669275 -0.97557225909911 0.56266858932283) ( 0.58995240604036 -0.64514397701636 -0.43636356378819 0.42367372284486 0.080873003350977 0.66431770249996)] [ ( 0.37370162592592 0.54536370736578 -0.53589647824656)]}
1663162775, 24, player, created, 27, 9, { [ ( -0.6591451911489) ( 0.43897113928866) ( 0.74924409381669) ( -0.87240433691467) ( 0.42961644706302) ( -0.85831540076984)] [ ( 0.51484389016058 0.97940093652277 -0.45735279152771 0.014680062057088 -0.87954771591105 -0.48263611974346) ( -0.45099373147975 0.68293817796743 0.36698424525147 -0.37475941525074 -0.32949567301616 -0.48741282843825) ( -0.26551362803159 -0.00697160283224 0.53397946277733 -0.13308635933145 -0.12256760196527 -0.32743224291888)] [ ( 0.35231544794905 0.46356588328179 0.28870006567693)]}
1663162779, 24, player, destroyed, 7, 8, { [ ( -0.6591451911489) ( 0.43897113928866) ( 0.74924409381669) ( -0.87240433691467) ( 0.42961644706302) ( -0.85831540076984)] [ ( 0.51484389016058 0.97940093652277 -0.45735279152771 0.014680062057088 -0.87954771591105 -0.48263611974346) ( -0.45099373147975 0.68293817796743 0.36698424525147 -0.37475941525074 -0.32949567301616 -0.48741282843825) ( -0.26551362803159 -0.00697160283224 0.53397946277733 -0.13308635933145 -0.12256760196527 -0.32743224291888)] [ ( 0.35231544794905 0.46356588328179 0.28870006567693)]}
1663162779, 25, player, created, 7, 8, { [ ( 0.11087720727154) ( 0.0033917733537299) ( -0.58855941933331) ( 0.85552039259085) ( 0.60840427058084) ( 0.3733890023464)] [ ( 0.33691859772496 0.29289036203014 0.15808314760679 0.62744069947836 -0.20915234805745 -0.024957687526143) ( 0.14888425862166 0.56853870296131 -0.70062610377605 -0.45163016393336 -0.21533183266856 -0.84675087602562) ( -0.2276103372473 0.91000756342768 0.16169780505665 -0.5799568009994 0.4588352874007 -0.6692838054346)] [ ( -0.96644559675867 0.097704256234582 0.96598121853352)]}
1663162779, 25, player, destroyed, 10, 12, { [ ( 0.11087720727154) ( 0.0033917733537299) ( -0.58855941933331) ( 0.85552039259085) ( 0.60840427058084) ( 0.3733890023464)] [ ( 0.33691859772496 0.29289036203014 0.15808314760679 0.62744069947836 -0.20915234805745 -0.024957687526143) ( 0.14888425862166 0.56853870296131 -0.70062610377605 -0.45163016393336 -0.21533183266856 -0.84675087602562) ( -0.2276103372473 0.91000756342768 0.16169780505665 -0.5799568009994 0.4588352874007 -0.6692838054346)] [ ( -0.96644559675867 0.097704256234582 0.96598121853352)]}
1663162779, 26, player, created, 10, 12, { [ ( 0.26414035997295) ( 0.87476965343982) ( -0.63054468154231) ( 0.52081725272085) ( -0.44471762505489) ( 0.21692236554849)] [ ( 0.96668545726631 0.24830405852383 0.54534766936994 0.43776987186684 -0.20873210503128 0.30267323233016) ( 0.037296544947852 0.8788923463332 0.48068718124794 0.19133797152487 0.84546955063944 0.0587695382323) ( -0.82923391877387 0.85217673107936 -0.15930815451029 0.50246044306617 0.65546194037139 0.81334687812825)] [ ( -0.99151494951451 0.82694558076446 -0.89908114244062)]}
1663162780, 26, player, destroyed, 19, 12, { [ ( 0.26414035997295) ( 0.87476965343982) ( -0.63054468154231) ( 0.52081725272085) ( -0.44471762505489) ( 0.21692236554849)] [ ( 0.96668545726631 0.24830405852383 0.54534766936994 0.43776987186684 -0.20873210503128 0.30267323233016) ( 0.037296544947852 0.8788923463332 0.48068718124794 0.19133797152487 0.84546955063944 0.0587695382323) ( -0.82923391877387 0.85217673107936 -0.15930815451029 0.50246044306617 0.65546194037139 0.81334687812825)] [ ( -0.99151494951451 0.82694558076446 -0.89908114244062)]}
1663162780, 27, player, created, 19, 12, { [ ( -0.41225771250701) ( 0.53122641051402) ( 0.62502616616585) ( -0.16253888919838) ( -0.40371009592152) ( 0.42950743666619)] [ ( 0.06456569663693 0.047343238276727 -0.81691361833288 0.27000651189283 0.95100589063519 -0.56027366468577) ( -0.44812332414438 -0.39080947437808 -0.61532191566151 -0.74987841238587 -0.32759532187438 0.29619345122303) ( 0.47245321960607 -0.69412419851306 -0.93237065991675 0.47050476438407 -0.52417894592889 -0.43321975280925)] [ ( -0.33283423103401 0.74721543765997 -0.18702751032869)]}
1663162781, 27, player, destroyed, 2, 4, { [ ( -0.41225771250701) ( 0.53122641051402) ( 0.62502616616585) ( -0.16253888919838) ( -0.40371009592152) ( 0.42950743666619)] [ ( 0.06456569663693 0.047343238276727 -0.81691361833288 0.27000651189283 0.95100589063519 -0.56027366468577) ( -0.44812332414438 -0.39080947437808 -0.61532191566151 -0.74987841238587 -0.32759532187438 0.29619345122303) ( 0.47245321960607 -0.69412419851306 -0.93237065991675 0.47050476438407 -0.52417894592889 -0.43321975280925)] [ ( -0.33283423103401 0.74721543765997 -0.18702751032869)]}
